model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,avg_confidence,median_confidence,n_train,n_test
logistic_regression,0.9714285714285714,0.9814814814814814,0.9722222222222222,0.9703703703703704,0.9809523809523808,0.9714285714285714,0.9695238095238097,0.28961880112239985,0.28567097536129094,420,140
multinomial_nb,0.9571428571428572,0.9675645342312009,0.9583333333333334,0.95533223035803,0.9666378066378066,0.9571428571428572,0.9540560083682594,0.435441877867401,0.44426776481779323,420,140
